2025-05-31 09:07:18,271 - Epoch 192/400, Loss: 0.5747, Train Acc: 0.7062, Val Acc: 0.6715
2025-05-31 09:07:55,228 - Epoch 193/400, Loss: 0.5731, Train Acc: 0.7032, Val Acc: 0.6698
2025-05-31 09:08:31,902 - Epoch 194/400, Loss: 0.5885, Train Acc: 0.6969, Val Acc: 0.6693
2025-05-31 09:09:08,573 - Epoch 195/400, Loss: 0.5809, Train Acc: 0.7001, Val Acc: 0.6662
2025-05-31 09:09:45,127 - Epoch 196/400, Loss: 0.5797, Train Acc: 0.7036, Val Acc: 0.6680
2025-05-31 09:10:21,656 - Epoch 197/400, Loss: 0.5820, Train Acc: 0.6999, Val Acc: 0.6636
2025-05-31 09:10:58,227 - Epoch 198/400, Loss: 0.5766, Train Acc: 0.7023, Val Acc: 0.6693
2025-05-31 09:11:34,765 - Epoch 199/400, Loss: 0.5720, Train Acc: 0.7046, Val Acc: 0.6676
2025-05-31 09:12:11,229 - Epoch 200/400, Loss: 0.5730, Train Acc: 0.7055, Val Acc: 0.6653
2025-05-31 09:15:48,640 - Epoch 1/400, Loss: 1.2512, Train Acc: 0.2100, Val Acc: 0.2375
2025-05-31 09:16:06,960 - Epoch 2/400, Loss: 1.2215, Train Acc: 0.2500, Val Acc: 0.2723
2025-05-31 09:16:25,360 - Epoch 3/400, Loss: 1.2024, Train Acc: 0.2857, Val Acc: 0.2830
2025-05-31 09:16:43,734 - Epoch 4/400, Loss: 1.1939, Train Acc: 0.2929, Val Acc: 0.2643
2025-05-31 09:17:02,041 - Epoch 5/400, Loss: 1.1878, Train Acc: 0.2942, Val Acc: 0.2696
2025-05-31 09:17:20,380 - Epoch 6/400, Loss: 1.1917, Train Acc: 0.2911, Val Acc: 0.2955
2025-05-31 09:17:38,743 - Epoch 7/400, Loss: 1.1805, Train Acc: 0.3114, Val Acc: 0.3018
2025-05-31 09:17:57,426 - Epoch 8/400, Loss: 1.1781, Train Acc: 0.3145, Val Acc: 0.3000
2025-05-31 09:18:15,826 - Epoch 9/400, Loss: 1.1675, Train Acc: 0.3252, Val Acc: 0.3134
2025-05-31 09:18:34,326 - Epoch 10/400, Loss: 1.1625, Train Acc: 0.3263, Val Acc: 0.2938
2025-05-31 09:18:52,934 - Epoch 11/400, Loss: 1.1531, Train Acc: 0.3362, Val Acc: 0.3339
2025-05-31 09:19:11,236 - Epoch 12/400, Loss: 1.1531, Train Acc: 0.3299, Val Acc: 0.3536
2025-05-31 09:19:29,625 - Epoch 13/400, Loss: 1.1479, Train Acc: 0.3406, Val Acc: 0.3598
2025-05-31 09:19:48,528 - Epoch 14/400, Loss: 1.1404, Train Acc: 0.3491, Val Acc: 0.3536
2025-05-31 09:20:06,932 - Epoch 15/400, Loss: 1.1341, Train Acc: 0.3520, Val Acc: 0.3545
2025-05-31 09:20:25,559 - Epoch 16/400, Loss: 1.1355, Train Acc: 0.3569, Val Acc: 0.3536
2025-05-31 09:20:43,867 - Epoch 17/400, Loss: 1.1316, Train Acc: 0.3538, Val Acc: 0.3634
2025-05-31 09:21:02,435 - Epoch 18/400, Loss: 1.1270, Train Acc: 0.3625, Val Acc: 0.3330
2025-05-31 09:21:20,914 - Epoch 19/400, Loss: 1.1221, Train Acc: 0.3712, Val Acc: 0.3705
2025-05-31 09:21:39,517 - Epoch 20/400, Loss: 1.1145, Train Acc: 0.3708, Val Acc: 0.3688
2025-05-31 09:21:58,135 - Epoch 21/400, Loss: 1.1101, Train Acc: 0.3795, Val Acc: 0.3750
2025-05-31 09:22:16,527 - Epoch 22/400, Loss: 1.1093, Train Acc: 0.3810, Val Acc: 0.3705
2025-05-31 09:22:34,823 - Epoch 23/400, Loss: 1.1081, Train Acc: 0.3828, Val Acc: 0.3884
2025-05-31 09:22:53,224 - Epoch 24/400, Loss: 1.0995, Train Acc: 0.3850, Val Acc: 0.3973
2025-05-31 09:23:11,601 - Epoch 25/400, Loss: 1.0971, Train Acc: 0.3877, Val Acc: 0.4018
2025-05-31 09:23:29,956 - Epoch 26/400, Loss: 1.0950, Train Acc: 0.3935, Val Acc: 0.4161
2025-05-31 09:23:48,292 - Epoch 27/400, Loss: 1.0873, Train Acc: 0.4025, Val Acc: 0.4071
2025-05-31 09:24:06,699 - Epoch 28/400, Loss: 1.0823, Train Acc: 0.4031, Val Acc: 0.4179
2025-05-31 09:24:25,192 - Epoch 29/400, Loss: 1.0833, Train Acc: 0.4025, Val Acc: 0.3982
